Location description |Coordinates|Google maps link|Suggested by
Princes St Gdns W, below Castle |55.949411, -3.200231|https://goo.gl/maps/2F1AEusWGz22|JL
Princes St Gdns W, nr floral clock|55.951613, -3.197720|https://goo.gl/maps/QtXFzgQCT592|JL
Princes St Gdns W, nr Mound|55.951086, -3.197160|https://goo.gl/maps/M3aEBmFMuUk|JL
Princes St Gdns W, nr Ross Bandstand|55.950449, -3.201315|https://goo.gl/maps/6cekGZ23Tin|JL
Princes St Gdns W, nr Wotjek|55.950863, -3.201960|https://goo.gl/maps/DniLwJU6G9k|JL
Princes St Gdns W, Ross Fountain|55.950220, -3.203295|https://goo.gl/maps/q7anLos9BWs|JL
Princes St Gdns, nr King's Stables Rd|55.948165, -3.202628|https://goo.gl/maps/Mo6YVxyBC1S2|JL
Princes St Gdns, towards King's Stables Rd|55.949163, -3.202897|https://goo.gl/maps/uKmRc5m9VKN2|JL
Princes Street at S Charlotte Street|55.950465, -3.205876|https://www.google.co.uk/maps/place/55%C2%B057'01.7%22N+3%C2%B012'21.1%22W/@55.950468,-3.2080647,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.950465!4d-3.205876|TT
Queen's Drive at Dunsapie Loch|55.946335, -3.154252|https://goo.gl/maps/TET7Qmwx14x|JL
Queen's Drive at Radical Rd|55.942485, -3.167679|https://goo.gl/maps/Ph8cW7bt31H2|JL
Queen's Drive by Willowbrae Ave|55.951742, -3.151888|https://goo.gl/maps/tA5kGhyurco|JL
Radical Rd above Scottish Parly|55.948692, -3.172498|https://goo.gl/maps/RuhNG8iMHjJ2|JL
Redhall Park|55.921802, -3.255774|https://goo.gl/maps/gVfR7Kjo4TS2|JL
Regent Rd Park 1|55.954957, -3.174617|https://goo.gl/maps/i5siAXo6VXB2|JL
Regent Rd Park 2|55.955603, -3.173148|https://goo.gl/maps/u7z5XWWFxB42|JL
Rosebank Cottages|55.945058, -3.210122|https://goo.gl/maps/VWyb25J7hfR2|JL
Roseburn park|55.944171, -3.240300|https://goo.gl/maps/rU8qw77E55P2|JL
Royal Fort Yacht Club|55.983027, -3.223201|https://goo.gl/maps/mLQ7gMd9w1x|VA
Royal Observatory, Blackford|55.923121, -3.187221|https://goo.gl/maps/dESb3VX4eP42|JL
Salisbury Crags|55.944759, -3.171069|https://goo.gl/maps/wiHe8Ei9nkz|JL
Saughton Rose Gardens|55.933632, -3.247169|https://goo.gl/maps/efeKyskteWB2|JL
Scottish Nat Gallery Modern Art|55.951548, -3.226668|https://goo.gl/maps/RF56x4jpwAs|JL
Scottish Parliament forecourt|55.952481, -3.174294|https://goo.gl/maps/BdukogKZgGA2|JL
Scottish Parliament landforms|55.950987, -3.172523|https://goo.gl/maps/or9xhjm8YkS2|JL
Scottish Parliament water features|55.951639, -3.173306|https://goo.gl/maps/9fDvHs7ywN82|JL
Scottish Storytelling Centre|55.950594, -3.184863|https://goo.gl/maps/oTJyihG9htQ2|JL
Shawfair station|55.917828, -3.089392|https://goo.gl/maps/YFSAo2zziut|JL
Spylaw Park|55.906355, -3.261359|https://goo.gl/maps/i7oxQscqrAJ2|JL
St Stephens Centre|55.958386, -3.203440|https://goo.gl/maps/cMXkttpXTv12|JL
Swanston brasserie|55.893846, -3.217007|https://goo.gl/maps/gFH3eSvurTR2|JL
The Hub|55.948973, -3.194529|https://goo.gl/maps/DHwECsWvcYB2|JL
The Loch (Heriot Watt Campus)|55.911477, -3.319015|https://goo.gl/maps/3pQxi4WGfTx|VA
The Lyceum|55.946780, -3.204282|https://goo.gl/maps/DEkaZRrQK1r|JL
The Pleasance|55.947681, -3.181537|https://goo.gl/maps/ZRv658j6LB22|JL
The Sheep's Heid Inn|55.942001, -3.1507307|https://goo.gl/maps/ggqKXjPYdEw|TT
Traverse Theatre forecourt|55.947711, -3.205003|https://goo.gl/maps/VuUBhW7tVzL2|JL
Tweeddale Court (Canongate)|55.950120, -3.184432|https://goo.gl/maps/tmURMpdQtC72|JL
Tynecastle - Hearts|55.938859, -3.231176|https://goo.gl/maps/5iXpH1rzc9n|JL
Union Park, Carrick Knowe|55.936366, -3.275512|https://goo.gl/maps/afx3bHQXrTL2|JL
Victoria Park, Trinity|55.975753, -3.19180|https://goo.gl/maps/8osrzHrYNrr|JL
Wadie Playing Fields|55.977455, -3.213823|https://goo.gl/maps/FbDVy4GWEZs|VA
Wardie Bowling Club|55.974710, -3.219312|https://goo.gl/maps/ymowm3XPWjF2|VA
Water of Leith centre, Lanark Rd|55.923373, -3.247976|https://goo.gl/maps/9FeJL58DzkP2|JL
Water of Leith, behind SNGMA|55.949941, -3.229358|https://goo.gl/maps/WyzoVFe3Yn92|JL
Waverley Steps|55.953061, -3.190147|https://goo.gl/maps/hJpgLyUBcct|JL
West Mains Road, KB|55.924529, -3.177226|https://goo.gl/maps/hM56KxwjPcs|JL
Wester Hailes|55.912816, -3.273207|https://goo.gl/maps/j1pizAh8mM22|JL
London Road, Gardener's Cottage|55.957652, -3.180666|https://goo.gl/maps/NKnh5M9pRss|JL
Mansfield Terrace|55.959500, -3.190696|https://goo.gl/maps/WFjo2mCkMDD2|JL
Inverleith Park Pond|55.962312, -3.216525|https://goo.gl/maps/QXwy7NQCaTD2|JL
Trinity House Leith|55.972161, -3.171123|https://goo.gl/maps/RKzSePyLxUr|JL
Jeffrey St above the arches|55.951211, -3.184508|https://goo.gl/maps/DCkW67Suyiu|JL
Canongate Kirk, Fergusson statue|55.951578, -3.179279|https://goo.gl/maps/83jfLmAPtWs|JL
Nicolson Sq Gdns|55.945951, -3.185631|https://goo.gl/maps/oKwgtWHX9ep|JL
Bristo Square|55.945537, -3.188605|https://goo.gl/maps/H9NoKihGXmz|JL
Heriot's|55.945106, -3.193691|https://goo.gl/maps/XXUypfcbCSB2|JL
Charlotte Square entrance|55.951887, -3.206828|https://goo.gl/maps/HxLJUQWN4Xx|JL
St Andrew's Square cafe|55.954488, -3.192762|https://goo.gl/maps/CXfpANf3GBo|JL
