19662|Broomhouse|55.9303378|-3.2860661||
35301|Brougham Place|55.9423|-3.2009||
3429|Broughton|55.9614308|-3.1873332||
540|Broughton Place|55.9587|-3.1887||
16282|Broughton Place Church|55.959144|-3.187345||
8592|Broughton Street|55.9578|-3.189||
17886|Broughton Street|55.9566|-3.1876|8592|
1635|Brown's Close|55.9523|-3.1769||
13579|Brown's Court|55.951831|-3.178297||
31333|Brownrigg|56.020061|-2.716503||
33323|Broxburn|55.9339004|-3.484794||
8138|Broxmouth|55.988519|-2.480662||
17471|Brunstane|55.940965|-3.091336||
37899|Brunstane|55.941138|-3.084969|17471|
29740|Brunswick Street|55.960376|-3.179822||
37712|Brunswick Street|55.961|-3.1812|29740|
1666|Bruntsfield|55.9366176|-3.2073772||
35960|Bruntsfield Avenue|55.9366|-3.2095||
35284|Bruntsfield Hotel|55.9381717|-3.2059291||
1593|Bruntsfield House|55.936555|-3.199349||
216|Bruntsfield Links|55.9409752|-3.1985839||
35286|Bruntsfield Place|55.9384|-3.2052||
35515|Bruntsfield Place|55.9389|-3.2049|35286|
35584|Bruntsfield Place|55.9361|-3.2091|35286|
24087|Buccleuch Parish Church|55.943877|-3.185549||
8657|Buccleuch Place|55.9429|-3.1865||
8750|Buccleuch Street|55.9425|-3.1843||
8814|Buccleuch Street|55.892696|-3.0718|8750|
38083|Buckingham Terrace|55.95508|-3.218885||
498|Buckstone|55.9099122|-3.2113993||
36128|Buckstone Snab|55.9127712|-3.2038639||
13144|Burgh Muir|55.935023|-3.218111||
30456|Burgh School|55.94826|-3.118556||
35959|Burlington Bertie|55.942211|-3.2027507||
35862|Burlington Street|55.9718|-3.1783||
4847|Burns Monument|55.9534904|-3.1782952||
14553|Burns Street|55.9686|-3.1649||
35974|Bush House|55.8594026|-3.2070836||
35834|Cables Wynd House|55.9744754|-3.1732061||
1710|Cafe Royal|55.95385|-3.190459||
37215|Caftell of Edinburgh|55.94867|-3.200924|948|Edinburgh Castle
21332|Calder Bank|55.893399|-3.477733||
16265|Calder House|55.889602|-3.4847707||
24216|Calder Park|55.9199|-3.2948||
2444|Caledonia Hotel|55.823452|-3.716441||
35353|Caledonian Brewery|55.935591|-3.231464||
7761|Caledonian Hotel|55.949481|-3.207163||
36578|Caledonian Place|55.9433|-3.2181||
1624|Calton|55.9561687|-3.1744939||
188|Calton Hill|55.9556726|-3.1824089||
35665|Calton Road|55.9527|-3.1809||
36583|Calton Road|55.9541|-3.1873|35665|
17716|Cambridge Street|55.9478|-3.205||
20148|Camera Obscura|55.9489631|-3.195567||
1341|Cameron House|55.9328829|-3.1583611||
35583|Cameron Toll|55.929|-3.1611||
35612|Cameron Toll|55.9292|-3.1613|35583|
35837|Cammo|55.9605801|-3.3116754||
33335|Canaan Lane|55.9294|-3.2035||
1611|Candlemaker Row|55.946951|-3.192865||
9505|Candlemaker Row|55.9474|-3.1922|1611|
13510|Cannongate|55.9528675|-3.1753186|564|Canongate
35332|Canny Man's|55.927573|-3.209138||
6299|Canon Gate|55.9515|-3.1793|564|Canongate
24109|Canon Gate|55.9523547|-3.1761031|564|Canongate
5235|Canon Street|55.962|-3.1984||
40084|Canon's Gate|55.9523547|-3.1761031|564|Canongate
206|Canongate|55.9515|-3.1793|564|
564|Canongate|55.9523547|-3.1761031||
12724|Canongate Churchyard|55.951713|-3.179895||
13843|Canongate Kilwinning Lodge|55.950722|-3.181482||
13525|Canongate Kirk|55.951711|-3.1793482||
2458|Canongate Tolbooth|55.951472|-3.179895||
1497|Canonmills|55.9625|-3.1982||
30243|Canonmills|55.9624048|-3.1988622|1497|
8980|Cant's Close|55.950066|-3.186715||
22273|Canty Bay|56.057408|-2.665667||
36352|Captain's Bar|55.9470479|-3.1864939||
1068|Carberry|55.9179514|-3.0268543||
13679|Cardinal Beaton's House|55.94909|-3.185404||
12298|Carfrae|55.918054|-2.67686||
18389|Carlton Terrace|55.9561|-3.1732||
13928|Caroline Park|55.9814088|-3.2407715||
36408|Carrick Knowe|55.9351853|-3.2813326||
35808|Carrington|55.8335271|-3.0902295||
25084|Castell of Edinburgh|55.94867|-3.200924|948|Edinburgh Castle
40573|Castell of Edinburgh|55.948645|-3.200732|948|Edinburgh Castle
3581|Castle Hill|55.9489|-3.1954|8465|Castlehill
20868|Castle Park|55.862271|-3.086252||
21279|Castle Park|55.9407951|-3.2093321|20868|
13581|Castle Road|55.958178|-3.455885||
35358|Castle Rock|55.94867|-3.200924|948|Edinburgh Castle
35763|Castle Rock|55.948645|-3.200732|948|Edinburgh Castle
17456|Castle Steads|55.914251|-3.058459||
223|Castle Street|55.9521|-3.2033||
1453|Castle Terrace|55.9468801|-3.2026112||
24115|Castle Terrace|55.9479|-3.204|1453|
8465|Castlehill|55.9489|-3.1954||
33304|Castlelaw Hill|55.8697455|-3.2400604||
17957|Cat Nick|55.9461471|-3.1742836||
544|Cauldhame Farm|55.961776|-3.583041||
24254|Cauldshiel|55.884692|-2.814753||
19258|Causewayend|55.834437|-3.458522||
12107|Causewayside|55.9379|-3.1811||
36538|Central Bar|55.9702845|-3.1717442||
36095|Chamberlain Road|55.9343|-3.2078||
14135|Chambers Street|55.9474|-3.1899||
21583|Chambers Street|55.9478|-3.188|14135|
2450|Chapel Royal|55.953068|-3.171544||
8413|Chapel Royal|55.952545|-3.171737|2450|
13764|Chapel Street|55.9443|-3.1858||
11697|Charity Workhouse|55.946154|-3.191655||
5111|Charles Street|55.9447|-3.1878||
24077|Charlotte Chapel|55.951105|-3.205532||
2222|Charlotte Square|55.9522329|-3.2070063||
7259|Chester Street|55.9497|-3.2166||
38646|China Town|55.947589|-3.213516||
35356|Chuckie Pend|55.9461|-3.2066||
23988|Church Hill|55.9324|-3.2069||
35437|Church Hill Place|55.9321|-3.2095||
18624|Church of the Sacred Heart|55.945133|-3.20152||
35099|Church of the Sacred Heart|55.975347|-3.299341|18624|
35786|Churchill Theatre|55.9324909|-3.2097087||
35779|Circus Lane|55.9581|-3.2049||
35575|Circus Place|55.957|-3.2045||
15077|City Bank|55.95537|-2.778585||
8385|City Chambers|55.950282|-3.190357||
33746|City Hospital|55.915639|-3.224703||
32051|Claremont Crescent|55.9637|-3.1918||
24227|Clarence Street|55.9592|-3.2059||
21404|Clarendon Crescent|55.954711|-3.21535||
8759|Clerk Street|55.9423|-3.1823||
30458|Clerkington Mains|55.941896|-2.794917||
22159|Clermiston|55.9537553|-3.2976114||
7360|Clifton Villa|55.974069|-3.176073||
13778|Coalhill|55.9749|-3.1731||
32187|Coates|55.832736|-3.24812||
18361|Coates Crescent|55.9487|-3.2124||
24069|Coates Crescent|55.948495|-3.212433|18361|
13536|Coatfield Lane|55.9727|-3.1694||
32679|Cockburn House|55.871707|-3.364041||
6986|Cockburn Street|55.9506|-3.1898||
1678|Colinton|55.908095|-3.253874||
25788|Colinton House|55.910124|-3.252141||
27926|Colinton House|55.909551|-3.252858|25788|
35247|Colinton Road|55.9334|-3.2122||
35463|Colinton Road|55.9081|-3.2533|35247|
35542|Colinton Road|55.9119|-3.2469|35247|
36210|Colinton Road|55.9248|-3.2351|35247|
6997|College Wynd|55.9485|-3.1882||
13737|Collegiate Church of St Mary in the Fields|55.947276|-3.187591||
4440|Comely Bank|55.9596268|-3.2188497||
12039|Comely Bank|55.9586|-3.2246|4440|
24079|Comely Bank|55.9591|-3.2225|4440|
35420|Comely Bank Avenue|55.9577|-3.2174||
13598|Comiston|55.9209851|-3.2140782||
13875|Commercial Bank of Scotland|55.956091|-3.186259||
28983|Commercial Hotel|55.955588|-2.776795||
8847|Commercial Inn|55.851787|-3.569731||
26395|Commercial Street|55.9763|-3.1699||
32933|Commercial Street|55.9773|-3.1752|26395|
28942|Concert Room|55.947732|-3.186484||
22261|Congalton|56.010714|-2.729209||
13783|Constitution Street|55.9729|-3.1685||
35859|Constitution Street|55.9761|-3.1661|13783|
36528|Constitution Street|55.9736|-3.1679|13783|
257|Corstorphine|55.9446703|-3.2817379||
1641|Corstorphine Hill|55.9534686|-3.2733947||
4430|Corstorphine Hill|55.952339|-3.282715|1641|
35451|Corstorphine Road|55.942|-3.2688||
2178|County Buildings|55.976428|-3.600771||
7978|County Buildings|55.95513|-2.780934||
14597|County Hotel|55.8950603|-3.0682938||
13542|Couper Street|55.976749|-3.177757||
21570|Court Street|55.955612|-2.778702||
13804|Cousland|55.900971|-3.009125||
555|Cowgate|55.9487|-3.1876||
1079|Cowgate|55.948|-3.1927|555|
40648|Cowgate-Port|55.94923|-3.183168||
34206|Craig House|55.9227182|-3.2281566||
10461|Craig's Close|55.949945|-3.189914||
21149|Craigcrook Castle|55.9548805|-3.2658189||
35462|Craiglea Drive|55.9213|-3.2162||
36251|Craigleith Road|55.9571|-3.2344||
16197|Craiglockhart|55.919077|-3.2453571||
1105|Craigmillar|55.9337616|-3.1381701||
3571|Craigmillar Castle|55.9256551|-3.1407527||
1619|Cramond|55.9705707|-3.3065489||
4447|Cramond Bridge|55.964429|-3.317991||
31158|Cramond Bridge|55.964098|-3.317868|4447|
8962|Cramond Brig|55.9652866|-3.3173288|4447|Cramond Bridge
4182|Cramond Island|55.994752|-3.291174||
36483|Cramond Island|55.99324|-3.289681|4182|
24071|Cranston Street|55.9511|-3.1841||
727|Crichton|55.83847|-2.959602||
7016|Crichton|55.833146|-2.951009|727|
3723|Crichton Castle|55.839474|-2.991563||
24086|Crichton Street|55.9446|-3.187||
5713|Croft-An-Righ|55.9545|-3.1715||
18784|Cross Keys Hotel|55.89549|-3.067719||
6577|Crown Hotel|55.986065|-2.656202||
34351|Crown Office|55.947599|-3.190066||
3574|Crown Room|55.948182|-3.199372||
35658|Cuckoo's Nest|55.9421758|-3.2031848||
35240|Cumberland Bar|55.9589954|-3.1970753||
1675|Cumberland Street|55.9586|-3.2||
18477|Currie|55.8952992|-3.3174933||
31058|Customs House|55.9770483|-3.1712444||
7013|Dalhousie Castle|55.866645|-3.078257||
7462|Dalhousie Castle|55.862379|-3.09132||
